,Name,Affiliation,Incumbent,Winner,Vote %,Cash Raised,Cash Spent,State,District Number
383,Kimberly Klacik,R,0,0,28.1,8296845.0,7499454.0,MD,07
384,Amber Ivey,I,0,0,,41924.0,43394.0,MD,07
385,Jamie Raskin,D,1,1,67.3,2072652.0,1399252.0,MD,08
386,Gregory Coll,R,0,0,32.5,30876.0,27257.0,MD,08
387,Richard E Neal,D,1,1,96.5,4949384.0,5873122.0,MA,01
388,James P McGovern,D,1,1,65.3,1052549.0,1089412.0,MA,02
389,Tracy Lovvorn,R,0,0,34.6,26311.0,22319.0,MA,02
390,Lori Trahan,D,1,1,97.7,1449303.0,1232437.0,MA,03
391,Jake Auchincloss,D,0,1,60.8,2608686.0,2150904.0,MA,04
392,Julie Hall,R,0,0,38.9,131603.0,129378.0,MA,04
393,Katherine Clark,D,1,1,74.3,1788706.0,1514877.0,MA,05
394,Caroline Colarusso,R,0,0,25.6,148635.0,146972.0,MA,05
395,Seth Moulton,D,1,1,65.4,1289805.0,1802169.0,MA,06
396,John Paul Moran,R,0,0,34.4,300220.0,299104.0,MA,06
397,Ayanna Pressley,D,1,1,86.6,2163370.0,1748432.0,MA,07
398,Stephen Lynch,D,1,1,80.7,905614.0,1134662.0,MA,08
399,Bill Keating,D,1,1,61.3,708680.0,652448.0,MA,09
400,Helen Brady,R,0,0,36.3,28233.0,23735.0,MA,09
401,John Bergman,R,1,1,61.6,1868512.0,1733466.0,MI,01
402,Dana Ferguson,D,0,0,36.9,346213.0,339788.0,MI,01
403,Bill Huizenga,R,1,1,59.2,2175411.0,1883610.0,MI,02
404,Bryan Berghoef,D,0,0,38.2,751576.0,669864.0,MI,02
405,Jean-Michel Creviere,3,0,0,0.7,281.0,1207.0,MI,02
406,Hillary Scholten,D,0,0,47.0,3793132.0,3765942.0,MI,03
407,Peter Meijer,R,0,1,53.0,2975972.0,2887774.0,MI,03
408,John Moolenaar,R,1,1,65.0,1528612.0,1036160.0,MI,04
409,Jerry Hilliard,D,0,0,32.4,23117.0,23603.0,MI,04
410,Dan Kildee,D,1,1,54.5,1669951.0,1504094.0,MI,05
411,Tim Kelly,R,0,0,41.7,71106.0,71106.0,MI,05
412,Fred Upton,R,1,1,55.8,3616380.0,3464617.0,MI,06
413,Jon Hoadley,D,0,0,40.1,3116491.0,3098366.0,MI,06
414,Tim Walberg,R,1,1,58.8,2301635.0,1586358.0,MI,07
415,Gretchen Driskell,D,0,0,41.3,1712840.0,1712840.0,MI,07
416,Elissa Slotkin,D,1,1,50.9,8967420.0,7419974.0,MI,08
417,Paul Junge,R,0,0,47.3,2107608.0,2097131.0,MI,08
418,Andy Levin,D,1,1,57.8,1316607.0,907237.0,MI,09
419,Lisa McClain,R,0,1,66.3,2266287.0,2137031.0,MI,10
420,Kimberly Bizon,D,0,0,33.7,41438.0,41246.0,MI,10
421,Haley Stevens,D,1,1,50.2,5776924.0,5707448.0,MI,11
422,Eric Esshaki,R,0,0,47.8,1298612.0,1291509.0,MI,11
423,Debbie Dingell,D,1,1,66.4,1630498.0,1689582.0,MI,12
424,Jeff Jones,R,0,0,30.7,10616.0,9657.0,MI,12
425,Rashida Tlaib,D,1,1,77.9,4014411.0,3690334.0,MI,13
426,Donald Eason,I,0,0,,34156.0,34156.0,MI,13
427,Jim Hagedorn,R,1,1,48.6,2386033.0,2305994.0,MN,01
428,Daniel Feehan,D,0,0,45.5,4861651.0,4863835.0,MN,01
429,Angie Craig,D,1,1,48.2,5380101.0,4435492.0,MN,02
430,Tyler Kistner,R,0,0,45.9,2990054.0,2956042.0,MN,02
431,Dean Phillips,D,1,1,55.6,2328616.0,2152031.0,MN,03
432,Kendall Qualls,R,0,0,44.3,1863927.0,1751214.0,MN,03
433,Gary Heyer,I,0,0,,827.0,827.0,MN,03
434,Betty McCollum,D,1,1,63.2,1171748.0,994072.0,MN,04
435,Gene Rechtzigel,R,0,0,29.0,20075.0,20075.0,MN,04
436,Ilhan Omar,D,1,1,64.3,5718517.0,5605576.0,MN,05
437,Lacy Johnson,R,0,0,25.8,12050564.0,12000896.0,MN,05
438,Chris Kelley,3,0,0,,249583.0,249583.0,MN,05
439,Ervan Katari Miller,I,0,0,,255.0,187.0,MN,05
440,Tom Emmer,R,1,1,65.5,2804265.0,2537612.0,MN,06
441,Tawnja Zahradka,D,0,0,34.3,49242.0,49214.0,MN,06
442,Collin Peterson,D,1,0,39.9,2714012.0,2867577.0,MN,07
443,Michelle Fischbach,R,0,1,53.4,2618450.0,2580501.0,MN,07
444,Pete Stauber,R,1,1,56.7,2593190.0,2608759.0,MN,08
445,Quinn Nystrom,D,0,0,37.6,1530606.0,1527005.0,MN,08
446,Trent Kelly,R,1,1,68.7,876882.0,826673.0,MS,01
447,Antonia Eliason,D,0,0,31.3,22281.0,18174.0,MS,01
448,Bennie G Thompson,D,1,1,66.0,1377392.0,1096904.0,MS,02
449,Michael Guest,R,1,1,64.7,766807.0,518162.0,MS,03
450,Steven Palazzo,R,1,1,100.0,817129.0,747217.0,MS,04
451,Cori Bush,D,0,1,78.8,1418014.0,1333512.0,MO,01
452,Ann Wagner,R,1,1,52.0,5598287.0,6513101.0,MO,02
453,Jill Schupp,D,0,0,45.4,4850948.0,4830434.0,MO,02
454,Blaine Luetkemeyer,R,1,1,69.4,2022905.0,2081391.0,MO,03
455,Vicky Hartzler,R,1,1,67.6,1700978.0,1335607.0,MO,04
456,Lindsey Simmons,D,0,0,29.7,395934.0,384622.0,MO,04
457,Emanuel Cleaver,D,1,1,58.5,1393847.0,928061.0,MO,05
458,Ryan Derks,R,0,0,38.7,76488.0,76488.0,MO,05
459,Sam Graves,R,1,1,67.1,1959516.0,1654756.0,MO,06
460,Gena Ross,D,0,0,30.8,10170.0,10530.0,MO,06
461,Billy Long,R,1,1,68.7,1320420.0,1518234.0,MO,07
462,Audrey Richards,I,0,0,,7985.0,8113.0,MO,07
463,Jason Smith,R,1,1,76.9,1900227.0,1514786.0,MO,08
464,Kathryn Ellis,D,0,0,21.4,302428.0,305387.0,MO,08
465,Kathleen Williams,D,0,0,43.6,6201758.0,6232286.0,MT,01
466,Matt Rosendale,R,0,1,56.4,3674706.0,3488045.0,MT,01
467,Matt Rosendale,R,1,0,,900359.0,378226.0,MT,02
468,Kevin Hamm,D,0,0,,19252.0,17677.0,MT,02
469,Jeff Fortenberry,R,1,1,59.5,1472816.0,2458330.0,NE,01
470,Kate Bolz,D,0,0,37.7,1143509.0,1140371.0,NE,01
471,Don Bacon,R,1,1,50.6,3749272.0,3713961.0,NE,02
472,Kara Eastman,D,0,0,46.3,4414390.0,4468006.0,NE,02
473,Adrian Smith,R,1,1,78.5,1506473.0,1148409.0,NE,03
474,Mark Elworth Jr,D,0,0,17.7,255.0,0.0,NE,03
475,Dina Titus,D,1,1,61.8,706193.0,587919.0,NV,01
476,Mark Amodei,R,1,1,56.5,1048056.0,1016673.0,NV,02
477,Patricia Ackerman,D,0,0,40.7,449363.0,449449.0,NV,02
478,Susie Lee,D,1,1,48.8,4748019.0,4732009.0,NV,03
479,Dan Rodimer,R,0,0,45.8,2936059.0,2915216.0,NV,03
480,Steven Horsford,D,1,1,50.7,3492372.0,3024427.0,NV,04
481,Jim Marchant,R,0,0,45.8,1462772.0,1419405.0,NV,04
482,Jonathan Royce Esteban,L,0,0,2.4,2788.0,1603.0,NV,04
483,Chris Pappas,D,1,1,51.3,3205731.0,3105663.0,NH,01
484,Matt Mowers,R,0,0,46.2,1707214.0,1698761.0,NH,01
485,Ann Kuster,D,1,1,53.9,2960033.0,2970274.0,NH,02
486,Steve Negron,R,0,0,43.7,368177.0,378959.0,NH,02
487,Don Norcross,D,1,1,62.5,2221989.0,1087264.0,NJ,01
488,Claire Gustafson,R,0,0,37.5,36520.0,21761.0,NJ,01
489,Jeff Van Drew,R,1,1,51.9,4229171.0,4041493.0,NJ,02
490,Amy Kennedy,D,0,0,46.2,4984376.0,4978913.0,NJ,02
491,Andy Kim,D,1,1,53.2,7241283.0,6753262.0,NJ,03
492,David Richter,R,0,0,45.5,1473669.0,1470648.0,NJ,03
493,Chris Smith,R,1,1,59.9,1383085.0,1284522.0,NJ,04
494,Stephanie Schmid,D,0,0,38.3,699580.0,658011.0,NJ,04
495,Josh Gottheimer,D,1,1,53.2,7694027.0,3487964.0,NJ,05
496,Frank Pallotta,R,0,0,45.6,1972033.0,1948705.0,NJ,05
497,Louis A. Vellucci,I,0,0,1.2,5456.0,5342.0,NJ,05
498,Frank Pallone Jr,D,1,1,61.2,3231755.0,2021737.0,NJ,06
499,Tom Malinowski,D,1,1,50.6,7414403.0,7423758.0,NJ,07
500,Tom Kean,R,0,0,49.4,3869121.0,3775442.0,NJ,07
501,Albio Sires,D,1,1,74.0,605810.0,551325.0,NJ,08
502,Bill Pascrell Jr,D,1,1,65.8,1560550.0,1795410.0,NJ,09
503,Billy Prempeh,R,0,0,31.9,44269.0,35075.0,NJ,09
504,Donald M Payne Jr,D,1,1,83.3,593735.0,457252.0,NJ,10
505,Mikie Sherrill,D,1,1,53.3,6419707.0,3733106.0,NJ,11
506,Rosemary Becchi,R,0,0,46.7,1687532.0,1686236.0,NJ,11
507,Bonnie Watson Coleman,D,1,1,65.6,798439.0,840651.0,NJ,12
508,Mark Razzoli,R,0,0,32.6,3065.0,1142.0,NJ,12
509,Debra Haaland,D,1,1,58.1,2246734.0,1875766.0,NM,01
510,Michelle Garcia Holmes,R,0,0,41.9,257294.0,245590.0,NM,01
511,Xochitl Torres Small,D,1,0,46.3,8387337.0,8539065.0,NM,02
512,Yvette Herrell,R,0,1,53.7,2805711.0,2921785.0,NM,02
513,Steve Jones,I,0,0,,9405.0,9505.0,NM,02
514,Teresa Leger Fernandez,D,0,1,58.7,2296594.0,2132010.0,NM,03
515,Alexis Johnson,R,0,0,41.3,147303.0,147303.0,NM,03
516,Lee Zeldin,R,1,1,55.9,8396981.0,8250116.0,NY,01
517,Nancy Goroff,D,0,0,44.1,7866239.0,7860977.0,NY,01
518,Jackie Gordon,D,0,0,46.0,4351881.0,4334484.0,NY,02
519,Andrew Garbarino,R,0,1,52.9,1743986.0,1612132.0,NY,02
520,Harry Burger,3,0,0,1.0,2430.0,594.0,NY,02
521,Tom Suozzi,D,1,1,53.2,2941006.0,2331302.0,NY,03
522,George Santos,R,0,0,46.2,658883.0,591239.0,NY,03
523,Joshua Sauberman,I,0,0,,127.0,270.0,NY,03
524,Kathleen Rice,D,1,1,52.0,1106258.0,1210410.0,NY,04
525,Douglas Tuman,R,0,0,47.3,134937.0,130995.0,NY,04
526,Ed Dennehy,I,0,0,,9031.0,9031.0,NY,04
527,Gregory Meeks,D,1,1,99.0,2097572.0,1467454.0,NY,05
528,Amit Lal,I,0,0,,126.0,0.0,NY,05
529,Grace Meng,D,1,1,62.6,1292084.0,1872311.0,NY,06
530,Thomas Zmich,R,0,0,37.4,133403.0,131278.0,NY,06
531,Nydia Velazquez,D,1,1,83.0,803217.0,676248.0,NY,07
532,Hakeem Jeffries,D,1,1,82.5,4168717.0,3293077.0,NY,08
533,Yvette Clarke,D,1,1,81.5,1200067.0,1190143.0,NY,09
534,Jerrold Nadler,D,1,1,68.5,1848688.0,1950774.0,NY,10
535,Cathy Bernstein,R,0,0,30.1,49975.0,28384.0,NY,10
536,Jeanne Nigro,I,0,0,,34548.0,28039.0,NY,10
537,Michael Madrid,L,0,0,1.2,14326.0,12149.0,NY,10
538,Max Rose,D,1,0,42.0,9284434.0,9499242.0,NY,11
539,Nicole Malliotakis,R,0,1,57.8,3469995.0,3447052.0,NY,11
540,Kemi Akindude,I,0,0,,21261.0,14697.0,NY,11
541,Carolyn Maloney,D,1,1,78.9,3067173.0,3059202.0,NY,12
542,Adriano Espaillat,D,1,1,86.0,1087237.0,1252740.0,NY,13
543,Lovelynn Gwinn,R,0,0,8.0,39384.0,39384.0,NY,13
544,Alexandria OcasioCortez,D,1,1,68.7,20664795.0,16735422.0,NY,14
545,John C. Cummings,R,0,0,30.5,11140937.0,10947758.0,NY,14
546,Ritchie Torres,D,0,1,88.2,2194025.0,1804336.0,NY,15
547,Jamaal Bowman,D,0,1,82.9,2878898.0,2801424.0,NY,16
548,Mondaire Jones,D,0,1,54.1,2984052.0,2186463.0,NY,17
549,Maureen McArdle Schulman,R,0,0,39.8,54732.0,60084.0,NY,17
550,Michael Parietti,3,0,0,0.9,44787.0,19670.0,NY,17
551,Sean Patrick Maloney,D,1,1,51.8,2556294.0,1718525.0,NY,18
552,Chele Farley,R,0,0,47.3,1186211.0,1152124.0,NY,18
553,Scott Smith,I,0,0,0.9,8718.0,8403.0,NY,18
554,Antonio Delgado,D,1,1,51.5,5949475.0,2963286.0,NY,19
555,Kyle Van De Water,R,0,0,45.9,153796.0,120097.0,NY,19
556,Paul Tonko,D,1,1,56.5,1541984.0,1418994.0,NY,20
557,Elizabeth Joy,R,0,0,43.4,370852.0,336845.0,NY,20
558,Elise Stefanik,R,1,1,64.4,13287248.0,11655936.0,NY,21
559,Tedra Cobb,D,0,0,35.6,5586793.0,5593266.0,NY,21
560,Anthony Brindisi,D,1,0,,6020190.0,5772429.0,NY,22
561,Claudia Tenney,R,0,0,,3051777.0,2725893.0,NY,22
562,Tom Reed,R,1,1,57.7,3275177.0,3145027.0,NY,23
563,Tracy Mitrano,D,0,0,41.4,1450322.0,1466128.0,NY,23
564,John Katko,R,1,1,53.1,3821107.0,3597234.0,NY,24
565,Dana Balter,D,0,0,43.0,3212469.0,3230808.0,NY,24
566,Joseph D Morelle,D,1,1,59.3,1375366.0,1274426.0,NY,25
567,George Mitris,R,0,0,39.1,301376.0,279047.0,NY,25
568,Kevin Wilson,L,0,0,1.5,5128.0,3417.0,NY,25
569,Brian Higgins,D,1,1,69.8,1124168.0,984106.0,NY,26
570,G K Butterfield,D,1,1,54.2,1032869.0,880420.0,NC,01
571,Sandy Smith,R,0,0,45.8,1458375.0,1437805.0,NC,01
572,Deborah Ross,D,0,1,63.0,2268381.0,1816923.0,NC,02
573,Alan Swain,R,0,0,34.8,119664.0,119435.0,NC,02
574,Japheth Matemu,L,0,0,2.2,625.0,54.0,NC,02
575,Greg Murphy,R,1,1,63.4,1767790.0,1505559.0,NC,03
576,David Price,D,1,1,67.3,1161738.0,1014872.0,NC,04
577,Virginia Foxx,R,1,1,66.9,1858388.0,1944629.0,NC,05
578,David Wilson Brown,D,0,0,31.1,61596.0,60668.0,NC,05
579,Kathy Manning,D,0,1,62.3,2002284.0,1695596.0,NC,06
580,Lee Haywood,R,0,0,37.7,73878.0,58342.0,NC,06
581,Jennyfer Bucardo,I,0,0,,750.0,759.0,NC,06
582,David Rouzer,R,1,1,60.3,1628458.0,1038883.0,NC,07
583,Christopher Ward,D,0,0,39.6,16260.0,4119.0,NC,07
584,Richard Hudson,R,1,1,53.3,4135872.0,4359009.0,NC,08
585,Patricia Timmons-Goodson,D,0,0,46.7,3855743.0,3852668.0,NC,08
586,Dan Bishop,R,1,1,55.6,4090260.0,4029864.0,NC,09
587,Cynthia Wallace,D,0,0,44.4,811609.0,794300.0,NC,09
588,Patrick McHenry,R,1,1,68.9,2780234.0,2339363.0,NC,10
589,David Parker,D,0,0,31.1,30555.0,30555.0,NC,10
590,Madison Cawthorn,R,0,1,54.5,4478970.0,4366783.0,NC,11
591,Moe Davis,D,0,0,42.3,2251413.0,2148121.0,NC,11
592,Alma Adams,D,1,1,100.0,824124.0,651883.0,NC,12
593,Bill Brewster,R,0,0,,21950.0,16763.0,NC,12
594,Ted Budd,R,1,1,68.2,2294174.0,1293414.0,NC,13
595,Scott Huffman,D,0,0,31.8,193334.0,189967.0,NC,13
596,Jeff Jackson,D,1,0,,753314.0,126486.0,NC,14
597,Kelly Armstrong,R,1,1,69.0,1269346.0,1080105.0,ND,01
598,Zach Raknerud,D,0,0,27.6,28047.0,26029.0,ND,01
599,Steve Chabot,R,1,1,51.8,3177647.0,2861464.0,OH,01
600,Kate Schroder,D,0,0,44.7,4040303.0,4039798.0,OH,01
601,Kevin Kahn,L,0,0,3.6,12085.0,8398.0,OH,01
602,Brad Wenstrup,R,1,1,61.1,1794354.0,1757078.0,OH,02
603,Jaime Castle,D,0,0,38.9,284197.0,271471.0,OH,02
604,Joyce Beatty,D,1,1,70.8,2237887.0,2540687.0,OH,03
605,Nicholas Moss,I,0,0,0.0,1258.0,1248.0,OH,03
606,Jim Jordan,R,1,1,67.9,18313823.0,12945651.0,OH,04
607,Chris Gibbs,I,0,0,,65807.0,65807.0,OH,04
608,Bob Latta,R,1,1,68.0,1580952.0,1477090.0,OH,05
609,Nick Rubando,D,0,0,32.0,249319.0,247423.0,OH,05
610,Bill Johnson,R,1,1,74.4,1866123.0,1853361.0,OH,06
611,Shawna Roberts,D,0,0,25.6,262.0,574.0,OH,06
612,Bob Gibbs,R,1,1,67.5,791888.0,453928.0,OH,07
613,Quentin Potter,D,0,0,29.2,12976.0,12976.0,OH,07
614,Brandon Lape,L,0,0,3.3,3348.0,2713.0,OH,07
615,Warren Davidson,R,1,1,69.0,1016740.0,841533.0,OH,08
616,Vanessa Enoch,D,0,0,31.0,40270.0,37546.0,OH,08
617,Marcy Kaptur,D,1,1,63.1,1090395.0,979798.0,OH,09
618,Rob Weber,R,0,0,36.9,134898.0,123262.0,OH,09
619,Michael R Turner,R,1,1,58.4,1752255.0,1736283.0,OH,10
620,Desiree Tims,D,0,0,41.6,2040760.0,2024010.0,OH,10
621,Marcia Fudge,D,1,1,80.1,755787.0,499820.0,OH,11
622,Laverne Gore,R,0,0,20.0,157044.0,156827.0,OH,11
623,Troy Balderson,R,1,1,55.2,2016826.0,1995665.0,OH,12
624,Alaina Shearer,D,0,0,41.8,1033711.0,1025410.0,OH,12
625,John Stewart,L,0,0,3.0,75170.0,66382.0,OH,12
626,Tim Ryan,D,1,1,52.5,1972446.0,2071454.0,OH,13
627,Christina Hagan,R,0,0,44.9,861723.0,820660.0,OH,13
628,David P Joyce,R,1,1,60.1,2917696.0,2501449.0,OH,14
629,Hillary O'Connor Mueri,D,0,0,39.9,579877.0,574646.0,OH,14
630,Steve Stivers,R,1,1,63.4,3004799.0,2293101.0,OH,15
631,Joel Newby,D,0,0,36.6,55797.0,55797.0,OH,15
632,Kevin Hern,R,1,1,63.7,1094104.0,830366.0,OK,01
633,Kojo Asamoa-Caesar,D,0,0,32.7,157355.0,173928.0,OK,01
634,Markwayne Mullin,R,1,1,75.0,1660206.0,1077939.0,OK,02
635,Danyell Lanier,D,0,0,22.0,41730.0,41722.0,OK,02
636,Frank D Lucas,R,1,1,78.5,872749.0,1036145.0,OK,03
637,Tom Cole,R,1,1,67.8,1812530.0,1753697.0,OK,04
638,Mary Brannon,D,0,0,28.8,2084.0,1599.0,OK,04
639,Kendra Horn,D,1,0,47.9,5949800.0,5946195.0,OK,05
640,Stephanie Bice,R,0,1,52.1,3720520.0,3508929.0,OK,05
641,Suzanne Bonamici,D,1,1,64.6,959223.0,864627.0,OR,01
642,Chris Christensen,R,0,0,35.2,144.0,672.0,OR,01
643,Cliff Bentz,R,0,1,60.0,1450780.0,1361727.0,OR,02
644,Alex Spenser,D,0,0,36.9,20640.0,5089.0,OR,02
645,Earl Blumenauer,D,1,1,73.0,1813365.0,1948453.0,OR,03
646,Joanna Harbour,R,0,0,23.5,17681.0,14502.0,OR,03
647,Peter DeFazio,D,1,1,51.6,5182843.0,5781074.0,OR,04
648,Alek Skarlatos,R,0,0,46.2,5454621.0,5331264.0,OR,04
649,Kurt Schrader,D,1,1,51.9,2018692.0,1922073.0,OR,05
650,Amy Ryan Courser,R,0,0,45.2,231624.0,221041.0,OR,05
651,Andrea Salinas,D,1,0,,629276.0,147520.0,OR,06
652,Brian Fitzpatrick,R,1,1,58.7,4203825.0,4272135.0,PA,01
653,Christina Finello,D,0,0,41.3,2336814.0,2329748.0,PA,01
654,Brendan Boyle,D,1,1,65.1,1556650.0,756317.0,PA,02
655,Dwight Evans,D,1,1,87.5,942386.0,781265.0,PA,03
656,Madeleine Dean,D,1,1,56.0,1435995.0,1005928.0,PA,04
657,Kathy Barnette,R,0,0,44.0,1000389.0,884640.0,PA,04
658,Joe Tarshish,I,0,0,,24038.0,23738.0,PA,04
659,Mary Gay Scanlon,D,1,1,60.3,1455042.0,1350276.0,PA,05
660,Dasha Pruett,R,0,0,39.7,105146.0,82437.0,PA,05
661,Chrissy Houlahan,D,1,1,54.7,3484484.0,1327283.0,PA,06
662,John Emmons,R,0,0,45.3,608859.0,601390.0,PA,06
663,John McHugh,I,0,0,,6165.0,4410.0,PA,06
664,Susan Wild,D,1,1,51.7,4581056.0,4528267.0,PA,07
665,Matt Cartwright,D,1,1,51.7,3885136.0,4144070.0,PA,08
666,Jim Bognet,R,0,0,48.3,1519527.0,1386040.0,PA,08
667,Dan Meuser,R,1,1,68.2,1071961.0,944010.0,PA,09
668,Gary Wegman,D,0,0,31.8,188787.0,187348.0,PA,09
669,Scott Perry,R,1,0,53.4,3956481.0,3839197.0,PA,10
670,Eugene DePasquale,D,0,0,46.6,4534580.0,4526684.0,PA,10
671,Lloyd Smucker,R,1,1,69.2,1349318.0,662704.0,PA,11
672,Sarah Hammond,D,0,0,30.8,28733.0,23458.0,PA,11
673,Fred Keller,R,1,1,71.8,1541938.0,1066158.0,PA,12
674,Lee Griffin,D,0,0,28.2,45850.0,44571.0,PA,12
675,Liz Terwilliger,L,0,0,,6211.0,5937.0,PA,12
676,John Joyce,R,1,1,79.0,1119769.0,461229.0,PA,13
677,Todd Rowley,D,0,0,21.0,60348.0,67527.0,PA,13
678,Guy Reschenthaler,R,1,1,67.8,2250282.0,1580488.0,PA,14
679,Bill Marx,D,0,0,32.2,60403.0,45959.0,PA,14
680,Glenn Thompson,R,1,1,76.3,1700061.0,1839073.0,PA,15
681,Mike Kelly,R,1,1,67.2,2239488.0,1319340.0,PA,16
682,Kristy Gnibus,D,0,0,32.8,584205.0,579453.0,PA,16
683,Conor Lamb,D,1,1,51.1,4063114.0,3448850.0,PA,17
684,Sean Parnell,R,0,0,48.9,3935774.0,3732399.0,PA,17
685,David Cicilline,D,1,1,70.8,1574854.0,1743173.0,RI,01
686,Jim Langevin,D,1,1,58.2,1102312.0,1422339.0,RI,02
687,Bob Lancia,R,0,0,41.5,55549.0,47877.0,RI,02
688,Joe Cunningham,D,1,0,49.3,6941746.0,6993962.0,SC,01
689,Nancy Mace,R,0,1,50.6,5766726.0,5707239.0,SC,01
690,Joe Wilson,R,1,1,55.7,1648065.0,1723956.0,SC,02
691,Adair Boroughs,D,0,0,42.6,2510526.0,2507664.0,SC,02
692,Jeff Duncan,R,1,1,71.2,1509647.0,1271872.0,SC,03
693,Hosea Cleveland,D,0,0,28.7,43214.0,45107.0,SC,03
694,William Timmons,R,1,1,61.6,977784.0,982233.0,SC,04
695,Kim Nelson,D,0,0,36.9,167825.0,167508.0,SC,04
696,Ralph Norman,R,1,1,60.1,991246.0,859747.0,SC,05
697,Moe Brown,D,0,0,39.9,480648.0,477295.0,SC,05
698,James E Clyburn,D,1,1,68.2,3406945.0,2332128.0,SC,06
699,Tom Rice,R,1,1,61.8,1405738.0,1242208.0,SC,07
700,Melissa Watson,D,0,0,38.1,147623.0,147623.0,SC,07
701,Larry Guy Hammond,L,0,0,,199.0,199.0,SC,07
702,Dusty Johnson,R,1,1,81.8,1693504.0,699356.0,SD,01
703,Diana Harshbarger,R,0,1,74.8,2126946.0,1869100.0,TN,01
704,Blair Nicole Walsingham,D,0,0,22.4,140209.0,134995.0,TN,01
705,Tim Burchett,R,1,1,67.7,1336276.0,878488.0,TN,02
706,Renee Hoyos,D,0,0,31.0,812784.0,816793.0,TN,02
707,Chuck Fleischmann,R,1,1,67.3,1051653.0,381411.0,TN,03
708,Meg Gorman,D,0,0,30.5,85843.0,77760.0,TN,03
709,Scott Desjarlais,R,1,1,66.7,331464.0,392499.0,TN,04
710,Christopher Hale,D,0,0,33.3,308731.0,302996.0,TN,04
711,Jim Cooper,D,1,1,100.0,936569.0,1332131.0,TN,05
712,John Rose,R,1,1,73.7,1050429.0,625688.0,TN,06
713,Mark Green,R,1,1,69.9,1194960.0,935487.0,TN,07
714,Kiran Sreepada,D,0,0,27.3,206644.0,207191.0,TN,07
715,Ronald Brown,I,0,0,2.2,1750.0,0.0,TN,07
716,Scott Vieira Jr,I,0,0,0.6,655.0,1049.0,TN,07
717,David Kustoff,R,1,1,68.5,1641217.0,999285.0,TN,08
718,Erika Stotts Pearson,D,0,0,29.5,19070.0,15883.0,TN,08
719,Steve Cohen,D,1,1,77.4,607570.0,457311.0,TN,09
720,Charlotte Bergmann,R,0,0,20.1,99147.0,100532.0,TN,09
721,Dennis Clark,I,0,0,1.6,9991.0,9919.0,TN,09
722,Louie Gohmert,R,1,1,72.6,552915.0,580441.0,TX,01
723,Hank Gilbert,D,0,0,27.4,968155.0,734411.0,TX,01
724,Dan Crenshaw,R,1,1,55.6,19427865.0,17596329.0,TX,02
725,Sima Ladjevardian,D,0,0,42.8,3832697.0,3825287.0,TX,02
726,Elliott Scheirman,L,0,0,1.6,15374.0,14296.0,TX,02
727,Van Taylor,R,1,1,55.1,2655327.0,2825378.0,TX,03
728,Helane Seikaly,D,0,0,42.9,1635185.0,1634843.0,TX,03
729,Patrick Fallon,R,0,1,75.1,257174.0,95065.0,TX,04
730,Tracy Shawn Jones,I,0,0,0.4,13002.0,10595.0,TX,04
731,Lance Gooden,R,1,1,62.0,1610327.0,1311983.0,TX,05
732,Carolyn Salter,D,0,0,35.9,317848.0,289112.0,TX,05
733,Kevin Hale,L,0,0,2.1,18405.0,6508.0,TX,05
734,Ron Wright,R,1,1,52.8,912134.0,907693.0,TX,06
735,Stephen Daniel,D,0,0,44.0,680402.0,677568.0,TX,06
736,Lizzie Fletcher,D,1,1,50.8,6265165.0,6246136.0,TX,07
737,Wesley Hunt,R,0,0,47.5,7524064.0,7300122.0,TX,07
738,Kevin Brady,R,1,1,72.5,3570477.0,3190447.0,TX,08
739,Elizabeth Hernandez,D,0,0,25.5,17227.0,14981.0,TX,08
740,Al Green,D,1,1,75.5,460332.0,486155.0,TX,09
741,Johnny Teague,R,0,0,21.6,89965.0,88366.0,TX,09
742,Michael McCaul,R,1,1,52.5,3856477.0,3910930.0,TX,10
743,Mike Siegel,D,0,0,45.4,2873926.0,2829765.0,TX,10
744,August Pfluger,R,0,1,79.7,2578540.0,1984134.0,TX,11
745,Jon Mark Hogg,D,0,0,18.3,137730.0,135141.0,TX,11
746,Kay Granger,R,1,1,63.7,3161288.0,3271815.0,TX,12
747,Lisa Welch,D,0,0,33.0,98465.0,98475.0,TX,12
748,Trey Holcomb,L,0,0,3.3,967.0,457.0,TX,12
749,Ronny Jackson,R,0,1,79.4,2128271.0,1741132.0,TX,13
750,Gus Trujillo,D,0,0,18.5,22826.0,18820.0,TX,13
751,Randy Weber,R,1,1,61.6,936202.0,924659.0,TX,14
752,Adrienne Bell,D,0,0,38.4,244754.0,240934.0,TX,14
753,Cyrus Sajna,I,0,0,,35096.0,34942.0,TX,14
754,Michael David Sanchez,I,0,0,,100.0,12.0,TX,14
755,Vicente Gonzalez,D,1,1,50.5,1008381.0,657500.0,TX,15
756,Monica De La Cruz,R,0,0,47.6,344893.0,338832.0,TX,15
757,Veronica Escobar,D,1,1,64.7,1135549.0,1087693.0,TX,16
758,Irene Armendariz-Jackson,R,0,0,35.3,168997.0,153671.0,TX,16
759,Pete Sessions,R,0,1,55.9,1447958.0,1658637.0,TX,17
760,Rick Kennedy,D,0,0,40.9,200668.0,202096.0,TX,17
761,Ted Brown,L,0,0,3.2,3041.0,3041.0,TX,17
762,Sheila Jackson Lee,D,1,1,73.3,924480.0,838414.0,TX,18
763,Wendell Champion,R,0,0,23.5,305645.0,271278.0,TX,18
